tweet_id,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
672488522314567680,1038,400,8942723,18,Twitter for iPhone,Original tweet,https://t.co/rVfi6CCidK
672482722825261057,1054,550,8942723,18,Twitter for iPhone,Original tweet,https://t.co/LPPa3btIIt
672481316919734272,672,120,8942723,18,Twitter for iPhone,Original tweet,https://t.co/mVCMemhXAP
672475084225949696,1356,649,8942723,18,Twitter for iPhone,Original tweet,https://t.co/mYhQvAdV4f
672466075045466113,1264,488,8942723,18,Twitter for iPhone,Original tweet,https://t.co/8lKFBOQ2J5
672272411274932228,6009,3105,8942723,18,Twitter for iPhone,Original tweet,https://t.co/ZICNl6tIr5
672267570918129665,1382,567,8942723,18,Twitter for iPhone,Original tweet,https://t.co/jDXxZARQIZ
672264251789176834,1057,309,8942723,18,Twitter for iPhone,Original tweet,https://t.co/TUeuaOmunV
672256522047614977,2633,1414,8942723,18,Twitter for iPhone,Original tweet,https://t.co/PoMKKnKpRd
672254177670729728,1337,688,8942723,18,Twitter for iPhone,Original tweet,https://t.co/OO6MqEbqG3
672248013293752320,1622,556,8942723,18,Twitter for iPhone,Original tweet,https://t.co/uhx5gfpx5k
672245253877968896,635,143,8942723,18,Twitter for iPhone,Original tweet,https://t.co/aCRKDaFmVr
672239279297454080,840,300,8942723,18,Twitter for iPhone,Original tweet,https://t.co/UHJE0UgMf7
672231046314901505,1703,931,8942723,18,Twitter for iPhone,Original tweet,https://t.co/WH7Nzc5IBA
672222792075620352,737,193,8942723,18,Twitter for iPhone,Original tweet,https://t.co/EW4MsOrF5O
672205392827572224,2099,1058,8942723,18,Twitter for iPhone,Original tweet,https://t.co/yRBQF9OS7D
672169685991993344,958,340,8942723,18,Twitter for iPhone,Original tweet,https://t.co/AjBkGTyCeO
672160042234327040,821,331,8942723,18,Twitter for iPhone,Original tweet,https://t.co/aNkkl5nH3W
672139350159835138,1622,643,8942723,18,Twitter for iPhone,Original tweet,https://t.co/0OI927mmNJ
672125275208069120,2231,1059,8942723,18,Twitter for iPhone,Original tweet,https://t.co/LquQZiZjJP
672095186491711488,928,339,8942723,18,Twitter for iPhone,Original tweet,https://t.co/ujnWy26RMe
672082170312290304,883,338,8942723,18,Twitter for iPhone,Original tweet,https://t.co/WTJtf9O8Jg
672068090318987265,1202,471,8942723,18,Twitter for iPhone,Original tweet,https://t.co/XkMtCGhr4a
671896809300709376,7949,3869,8942723,18,Twitter for iPhone,Original tweet,https://t.co/eqmkr2gmPH
671891728106971137,1228,521,8942723,18,Twitter for iPhone,Original tweet,https://t.co/dzZYx2NByW
671882082306625538,3257,1283,8942723,18,Twitter for iPhone,Original tweet,https://t.co/Clg16EVy9O
671879137494245376,1316,612,8942723,18,Twitter for iPhone,Original tweet,https://t.co/vPXKSaNsbE
671874878652489728,1178,511,8942723,18,Twitter for iPhone,Original tweet,https://t.co/3J7wkwW4FG
671866342182637568,1055,452,8942723,18,Twitter for iPhone,Original tweet,https://t.co/FWJQ1zQLiI
671855973984772097,841,399,8942723,18,Twitter for iPhone,Original tweet,https://t.co/gpWLdbposg
671789708968640512,6609,3200,8942723,18,Twitter for iPhone,Original tweet,https://t.co/SfPQ2KeLdq
671768281401958400,1119,458,8942723,18,Twitter for iPhone,Original tweet,https://t.co/TASnD8Q08S
671763349865160704,1557,834,8942723,18,Twitter for iPhone,Original tweet,https://t.co/m9NleZ1i80
671744970634719232,1267,710,8942723,18,Twitter for iPhone,Original tweet,https://t.co/wwwYO9C9kl
671743150407421952,702,219,8942723,18,Twitter for iPhone,Original tweet,https://t.co/2IslQ8ZSc7
671735591348891648,1348,697,8942723,18,Twitter for iPhone,Original tweet,https://t.co/TON0Irzgwr
671729906628341761,7935,3999,8942723,18,Twitter for iPhone,Original tweet,https://t.co/DaD5SyajWt
671561002136281088,11951,6687,8942723,18,Twitter for iPhone,Original tweet,https://t.co/q6RsuOVYwU
671550332464455680,845,194,8942723,18,Twitter for iPhone,Original tweet,s
671547767500775424,1258,542,8942723,18,Twitter for iPhone,Original tweet,https://t.co/f99MV0htAV
671544874165002241,1828,960,8942723,18,Twitter for iPhone,Original tweet,https://t.co/QVaEMsB9tS
